2024-11-18  335870	윙스풋	1580	1532	-3.03	
2024-11-18	225190	LK삼양	3470	3365	-3.02
2024-11-18	378800	샤페론	5140	4985	-3.02
2024-11-18	225190	LK삼양	3367	3265	-3.03
2024-11-18	225190	LK삼양	3265	3130	-4.13
2024-11-18	100790	미래에셋벤처투자	6121	5930	-3.12
2024-11-18	328130	루닛	59300	61600	3.88
2024-11-18	335870	윙스풋	1531	1590	3.85
2024-11-19	328130	루닛	61675	64600	4.74
2024-11-19	335870	윙스풋	1600	1520	-5.00
2024-11-20	225190	LK삼양	3135	2930	-6.54
2024-11-20	100790	미래에셋벤처투자	5930	5750	-3.04
2024-11-20	328130	루닛	64700	62700	-3.09
2024-11-20	100790	미래에셋벤처투자	5748	5440	-5.36
2024-11-21	328130	루닛	62600	65700	4.95
2024-11-22	328130	루닛	65800	56600	-13.98
2024-11-25	351870	차이커뮤니케이션	9360	9720	3.85
2024-11-25	328130	루닛	56700	58800	3.70
2024-11-25	460930	현대힘스	14510	15040	3.65
2024-11-25	328130	루닛	58900	64900	10.19
2024-11-25	351870	차이커뮤니케이션	9750	9400	-3.59
2024-11-27	328130	루닛	65000	69500	6.92
2024-11-27	219420	링크제니시스	6000	6230	3.83
2024-11-27	033320	제이씨현시스템	4925	4775	-3.05
2024-12-04	001380	SG글로벌	2845	2525	-11.25
2024-12-04	033320	제이씨현시스템	4776	5420	13.48
2024-12-04	460930	현대힘스	15051	13120	-12.83
2024-12-04	082800	비보존 제약	7990	7550	-5.51
2024-12-04	464500	아이언디바이스	4900	4635	-5.41
2024-12-04	311690	CJ 바이오사이언스	13330	11070	-16.95
2024-12-04	128540	에코캡	1791	1569	-12.40
2024-12-04	097230	HJ중공업	4110	3985	-3.04
2024-12-04	389020	자람테크놀로지	39800	38600	-3.02
2024-12-04	219420	링크제니시스	6240	6050	-3.04
2024-12-04	001380	SG글로벌	2525	2610	3.37
2024-12-04	033320	제이씨현시스템	5450	5280	-3.12
2024-12-04	008830	대동기어	14640	14200	-3.01
2024-12-04	219420	링크제니시스	6080	5720	-5.92
2024-12-05	097230	HJ중공업	3980	3740	-6.03
2024-12-05	001380	SG글로벌	2630	2470	-6.08
2024-12-05	270520	지오릿에너지	1895	1795	-5.28
2024-12-05	389020	자람테크놀로지	38600	41600	7.77
2024-12-05	052220	iMBC	2850	3295	15.61
2024-12-05	047560	이스트소프트	21500	23200	7.91
2024-12-05	300080	플리토	17510	18900	7.94
2024-12-05	476080	M83	15060	16230	7.77
2024-12-06	355390	크라우드웍스	14700	15710	6.87
2024-12-06	223310	딥마인드	2400	2540	5.83
2024-12-06	004100	태양금속	3065	3300	7.67
2024-12-06	450520	인스웨이브시스템즈	3900	3665	-6.03
2024-12-06	084690	대상홀딩스	9620	10320	7.28
2024-12-06	394800	쓰리빌리언	5500	5170	-6.00
2024-12-06	052220	iMBC	2875	3125	8.70
